 log10_L ,        log10_M
 8.00000 ,  9050966.79919
 8.00100 ,  9051532.46694
 8.00200 ,  9052098.09934
 8.00300 ,  9052663.69639
 8.00400 ,  9053229.25812
 8.00500 ,  9053794.78451
 8.00600 ,  9054360.27558
 8.00700 ,  9054925.73134
 8.00800 ,  9055491.15178
 8.00900 ,  9056056.53693
 8.01000 ,  9056621.88677
 8.01100 ,  9057187.20133
 8.01200 ,  9057752.48061
 8.01300 ,  9058317.72461
 8.01400 ,  9058882.93334
 8.01500 ,  9059448.10681
 8.01600 ,  9060013.24502
 8.01700 ,  9060578.34799
 8.01800 ,  9061143.41571
 8.01900 ,  9061708.44819
 8.02000 ,  9062273.44544
 8.02100 ,  9062838.40747
 8.02200 ,  9063403.33429
 8.02300 ,  9063968.22589
 8.02400 ,  9064533.08229
 8.02500 ,  9065097.90350
 8.02600 ,  9065662.68951
 8.02700 ,  9066227.44034
 8.02800 ,  9066792.15599
 8.02900 ,  9067356.83648
 8.03000 ,  9067921.48180
 8.03100 ,  9068486.09196
 8.03200 ,  9069050.66697
 8.03300 ,  9069615.20683
 8.03400 ,  9070179.71156
 8.03500 ,  9070744.18116
 8.03600 ,  9071308.61563
 8.03700 ,  9071873.01498
 8.03800 ,  9072437.37923
 8.03900 ,  9073001.70837
 8.04000 ,  9073566.00240
 8.04100 ,  9074130.26135
 8.04200 ,  9074694.48522
 8.04300 ,  9075258.67400
 8.04400 ,  9075822.82771
 8.04500 ,  9076386.94636
 8.04600 ,  9076951.02994
 8.04700 ,  9077515.07848
 8.04800 ,  9078079.09197
 8.04900 ,  9078643.07042
 8.05000 ,  9079207.01383
 8.05100 ,  9079770.92222
 8.05200 ,  9080334.79559
 8.05300 ,  9080898.63395
 8.05400 ,  9081462.43729
 8.05500 ,  9082026.20564
 8.05600 ,  9082589.93900
 8.05700 ,  9083153.63737
 8.05800 ,  9083717.30075
 8.05900 ,  9084280.92917
 8.06000 ,  9084844.52261
 8.06100 ,  9085408.08109
 8.06200 ,  9085971.60462
 8.06300 ,  9086535.09320
 8.06400 ,  9087098.54684
 8.06500 ,  9087661.96554
 8.06600 ,  9088225.34932
 8.06700 ,  9088788.69817
 8.06800 ,  9089352.01211
 8.06900 ,  9089915.29113
 8.07000 ,  9090478.53526
 8.07100 ,  9091041.74449
 8.07200 ,  9091604.91882
 8.07300 ,  9092168.05828
 8.07400 ,  9092731.16286
 8.07500 ,  9093294.23256
 8.07600 ,  9093857.26741
 8.07700 ,  9094420.26739
 8.07800 ,  9094983.23253
 8.07900 ,  9095546.16282
 8.08000 ,  9096109.05827
 8.08100 ,  9096671.91889
 8.08200 ,  9097234.74469
 8.08300 ,  9097797.53567
 8.08400 ,  9098360.29183
 8.08500 ,  9098923.01319
 8.08600 ,  9099485.69975
 8.08700 ,  9100048.35152
 8.08800 ,  9100610.96850
 8.08900 ,  9101173.55070
 8.09000 ,  9101736.09813
 8.09100 ,  9102298.61079
 8.09200 ,  9102861.08869
 8.09300 ,  9103423.53184
 8.09400 ,  9103985.94024
 8.09500 ,  9104548.31389
 8.09600 ,  9105110.65281
 8.09700 ,  9105672.95701
 8.09800 ,  9106235.22648
 8.09900 ,  9106797.46124
 8.10000 ,  9107359.66128
 8.10100 ,  9107921.82663
 8.10200 ,  9108483.95728
 8.10300 ,  9109046.05324
 8.10400 ,  9109608.11451
 8.10500 ,  9110170.14111
 8.10600 ,  9110732.13304
 8.10700 ,  9111294.09030
 8.10800 ,  9111856.01291
 8.10900 ,  9112417.90086
 8.11000 ,  9112979.75417
 8.11100 ,  9113541.57285
 8.11200 ,  9114103.35689
 8.11300 ,  9114665.10630
 8.11400 ,  9115226.82109
 8.11500 ,  9115788.50128
 8.11600 ,  9116350.14685
 8.11700 ,  9116911.75783
 8.11800 ,  9117473.33421
 8.11900 ,  9118034.87600
 8.12000 ,  9118596.38322
 8.12100 ,  9119157.85585
 8.12200 ,  9119719.29393
 8.12300 ,  9120280.69743
 8.12400 ,  9120842.06639
 8.12500 ,  9121403.40079
 8.12600 ,  9121964.70066
 8.12700 ,  9122525.96598
 8.12800 ,  9123087.19678
 8.12900 ,  9123648.39305
 8.13000 ,  9124209.55481
 8.13100 ,  9124770.68205
 8.13200 ,  9125331.77479
 8.13300 ,  9125892.83303
 8.13400 ,  9126453.85678
 8.13500 ,  9127014.84605
 8.13600 ,  9127575.80084
 8.13700 ,  9128136.72115
 8.13800 ,  9128697.60700
 8.13900 ,  9129258.45839
 8.14000 ,  9129819.27532
 8.14100 ,  9130380.05781
