# d_radial[Mpc] v_radial[km/s] ra deg MAG_B MAG_K
68396.218750 3407.275391 9.028001 39.878952 -22.050623 -25.711010
69114.031250 3312.278320 8.859159 40.087646 -21.601973 -25.527910
69385.117188 3482.869385 8.843690 40.247395 -19.264727 -22.546370
50475.414062 3373.296387 126.292183 -21.602718 -24.010874 -27.720991
50806.628906 2959.360107 125.150833 -21.476313 -21.909819 -25.847523
51169.195312 2901.569336 125.021767 -21.051886 -22.031662 -26.059793
51631.335938 2924.723389 125.551735 -21.602282 -21.020506 -25.001511
50321.398438 3185.736084 125.634933 -21.945711 -21.255871 -25.293625
50615.289062 2836.485352 123.690979 -20.452480 -22.294743 -25.360270
51080.210938 2934.824707 124.957031 -21.122980 -21.573195 -25.351936
49594.542969 3379.306396 126.836746 -21.762470 -20.580948 -24.529030
51047.968750 3487.594727 126.246269 -20.996157 -20.444260 -24.446083
51150.125000 3294.385498 125.972397 -20.619534 -20.743299 -24.590614
51315.683594 3126.841553 125.702194 -21.000393 -20.613514 -24.535854
50919.945312 3483.951172 125.593346 -21.665857 -19.683847 -23.662813
51356.140625 3344.665771 126.470123 -21.349894 -19.985291 -23.601618
49436.203125 3178.445801 126.363808 -21.077169 -20.838333 -23.621067
50445.597656 3008.170166 126.106674 -21.580835 -19.993986 -24.132473
49964.601562 3230.996826 125.050690 -21.299862 -20.062725 -23.921122
51225.269531 2938.386963 126.380676 -20.865858 -20.655806 -23.771175
50102.945312 3241.843506 125.422729 -21.349852 -19.920849 -23.391378
50276.351562 2027.137329 127.029778 -21.533516 -20.317533 -23.594931
52120.542969 3081.360107 124.299217 -21.790775 -20.088017 -23.546328
50288.406250 3311.917725 127.344254 -22.714216 -20.093458 -23.441881
52897.714844 3286.348389 125.773483 -19.246489 -18.608524 -21.609819
49576.183594 2460.431641 126.015373 -22.286121 -19.681770 -22.656242
50743.507812 3305.246582 124.414459 -21.003172 -19.831438 -23.062551
50239.019531 2103.466553 126.032990 -21.285122 -20.529329 -23.509115
50509.039062 3409.841797 123.998528 -21.531958 -19.777397 -23.068987
51538.617188 3395.387451 125.950073 -21.556124 -20.191998 -22.548388
51831.261719 3496.476318 124.572792 -21.218616 -19.196093 -22.968882
51674.421875 3376.949707 125.922180 -21.388184 -19.463833 -22.943129
51254.156250 2722.342285 126.952721 -21.718586 -19.666210 -22.861071
