# n_subhalo mass[Msun] radius[Mpc] sigma_p sigma_3D cm_vel_offset[km/s] dot_vel
2658 1.266114e+13 0.478998 236.540421 399.620214 2.648604 0.999882
609 5.218294e+12 0.356462 166.998779 301.966699 19.836906 0.999910
6012 4.205928e+13 0.714700 338.490570 592.376263 60.864895 0.990993
756 9.047917e+12 0.428243 188.618683 346.079331 0.195368 1.000000
5451 2.998253e+13 0.638457 296.798004 534.473070 11.656425 0.999891
2853 7.456211e+12 0.401501 193.295792 382.858341 25.034870 0.999250
855 7.400753e+12 0.400507 196.341492 330.519104 4.921366 0.999800
20088 1.278202e+14 1.035248 524.495667 831.369748 1.936263 0.999905
810 8.088232e+12 0.412523 195.972839 340.248827 3.131484 0.999794
471 4.844160e+12 0.347739 159.644791 288.876923 0.841722 1.000000
225 4.584776e+12 0.341414 196.459015 349.729425 11.737414 0.999928
429 3.713035e+12 0.318227 131.184998 240.501917 4.486728 0.999945
5697 3.893502e+13 0.696538 312.134552 598.211752 12.008894 0.999889
963 3.995584e+12 0.326112 164.682831 280.039961 6.058917 0.999618
1938 1.156164e+13 0.464714 235.647079 430.215961 11.884401 0.999299
1608 7.059660e+12 0.394239 186.893021 318.209342 8.032840 0.999785
2109 1.158774e+13 0.465052 222.323898 383.242738 5.566852 0.999952
1368 9.408509e+12 0.433860 223.101898 367.358448 5.269408 0.999861
678 6.255686e+12 0.378675 178.852310 304.289046 1.694346 0.999977
7626 6.356684e+13 0.820204 385.819153 702.303505 16.234138 0.999302
507 5.711516e+12 0.367341 179.839127 298.713565 8.409714 0.999777
2400 1.569262e+13 0.514529 259.015381 508.150101 17.845671 0.998861
9474 5.669573e+13 0.789490 385.140869 661.636534 26.210917 0.995056
804 5.374403e+12 0.359975 200.315460 321.888158 35.604744 0.986416
1602 7.649588e+12 0.404927 206.452744 365.266392 14.747791 0.994779
1923 1.543244e+13 0.511661 244.511688 417.166301 1.730116 0.999989
852 6.092903e+12 0.375355 166.534332 305.150860 1.855525 0.999986
708 6.354704e+12 0.380656 185.566055 345.108396 14.151525 0.999533
750 3.015490e+12 0.296910 146.618423 262.608996 21.145544 0.995517
984 6.928353e+12 0.391790 180.323135 360.155631 33.818428 0.999110
762 5.576309e+12 0.364431 165.880814 303.118328 4.294085 0.999847
40479 2.228717e+14 1.246021 676.759827 1138.286609 49.040165 0.957644
4218 2.417509e+13 0.594234 289.913300 497.375578 14.449877 0.999464
993 6.878270e+12 0.390837 201.977890 336.285576 6.565669 0.999806
660 4.921625e+12 0.349567 177.401855 295.142929 0.119035 1.000000
648 4.434767e+12 0.337648 151.255157 282.083948 0.525883 0.999998
2730 9.673859e+12 0.437898 232.727966 382.516977 2.691341 0.999984
1878 1.172081e+13 0.466824 193.259109 371.759731 6.399606 0.997533
9816 7.279370e+13 0.858100 393.019501 699.378088 4.380828 0.999867
1692 7.271433e+12 0.398142 194.315002 369.545858 19.409609 0.997739
2109 1.158774e+13 0.465052 222.323898 383.242738 5.566852 0.999952
504 4.757514e+12 0.345655 163.661514 280.830445 1.647239 0.999954
903 2.924582e+12 0.293892 162.567780 251.002653 32.006126 0.961646
834 4.115963e+12 0.329354 145.979034 279.531940 2.963800 0.999788
810 5.370313e+12 0.359890 202.185043 331.333213 6.425330 0.999918
1008 3.548260e+12 0.313456 167.186218 300.325423 13.153215 0.996771
1134 5.788194e+12 0.369001 192.157608 312.466234 10.482336 0.998824
1266 1.240480e+13 0.475746 239.556534 390.646464 0.573822 0.999995
1536 7.339479e+12 0.399387 200.272232 338.710631 3.101949 0.999980
723 5.933871e+12 0.372072 165.512970 330.241524 9.670989 0.999924
384 5.104495e+12 0.353858 174.886597 308.323037 0.547549 0.999999
1887 1.370768e+13 0.491842 239.367386 410.988442 0.322638 0.999999
960 6.216314e+12 0.377868 178.359955 309.605198 4.083180 0.999916
1239 9.722530e+12 0.438634 215.537613 366.070777 3.078982 0.999956
1878 1.172081e+13 0.466824 193.259109 371.759731 6.399606 0.997533
5931 4.167363e+13 0.712520 309.567230 588.525422 10.155176 0.998989
678 3.229468e+12 0.303772 131.291077 261.098047 8.122322 0.999796
6012 4.205928e+13 0.714700 338.490570 592.376263 60.864895 0.990993
468 1.469493e+12 0.233641 118.586769 215.274200 10.891892 0.999099
50811 2.323091e+14 1.263341 477.920837 1048.303007 20.534840 0.992649
654 5.875194e+12 0.370840 170.098724 300.958782 0.246726 1.000000
1536 7.339479e+12 0.399387 200.272232 338.710631 3.101949 0.999980
1290 8.282764e+12 0.415819 206.338791 353.282911 4.732390 0.999844
459 4.609649e+12 0.342016 159.838379 277.408751 0.279965 1.000000
678 3.978658e+12 0.325646 176.205200 267.898626 2.007366 0.999932
504 3.013593e+12 0.296853 144.853348 234.860202 2.282792 0.999994
1602 7.649588e+12 0.404927 206.452744 365.266392 14.747791 0.994779
2850 2.234292e+13 0.578813 286.270386 491.981308 1.185245 0.999995
504 5.059394e+12 0.352795 174.199295 307.827757 1.547244 0.999936
225 4.584776e+12 0.341414 196.459015 349.729425 11.737414 0.999928
582 5.287244e+12 0.358014 178.192062 289.951390 2.095511 0.999945
885 2.788636e+12 0.289274 148.596024 286.306018 18.743917 0.996760
528 3.796432e+12 0.320598 161.242676 260.064501 11.118155 0.999832
1023 9.804661e+12 0.439867 206.941071 355.181314 2.960139 0.999973
852 7.123953e+12 0.395436 181.551361 326.564120 3.326468 0.999909
699 2.674638e+12 0.285272 153.553436 260.425286 18.560970 0.999571
444 3.768186e+12 0.319808 158.860825 260.728616 0.931087 0.999966
678 6.255686e+12 0.378675 178.852310 304.289046 1.694346 0.999977
708 2.176558e+12 0.266328 132.752136 238.435114 19.203939 0.999391
864 5.952622e+12 0.372453 178.121796 303.442927 8.519424 0.999507
2688 1.930635e+13 0.551318 241.130554 464.465427 8.582701 0.999955
2079 1.087245e+13 0.455281 197.563782 372.766431 0.997146 1.000000
1608 7.059660e+12 0.394239 186.893021 318.209342 8.032840 0.999785
864 5.952622e+12 0.372453 178.121796 303.442927 8.519424 0.999507
933 2.597527e+12 0.282499 142.984009 259.666730 6.570941 0.999994
